game_id,date,opponent,location,team_score,opp_score,record
401574830,11/6/2023,Lindenwood,H,84,52,1-0 (0-0)
401574831,11/9/2023,Florida A&M,H,81,54,2-0 (0-0)
401574832,11/13/2023,Rider,H,64,50,3-0 (0-0)
401574833,11/15/2023,Stony Brook,H,84,63,4-0 (0-0)
401574834,11/18/2023,Oregon State,N,84,63,5-0 (0-0)
401574835,11/22/2023,Duquesne,H,89,79,6-0 (0-0)
401574836,11/26/2023,Cal State Fullerton,H,85,72,7-0 (0-0)
401574837,12/3/2023,Creighton,H,60,89,7-1 (0-0)
401600302,12/6/2023,Minnesota,A,65,76,7-2 (0-1)
401600305,12/10/2023,Michigan State,H,77,70,8-2 (1-1)
401574838,12/17/2023,Kansas State,A,62,46,9-2 (1-1)
401574839,12/20/2023,North Dakota,H,83,75,10-2 (1-1)
401574840,12/29/2023,South Carolina State,H,91,62,11-2 (1-1)
401600309,1/3/2024,Indiana,H,86,70,12-2 (2-1)
401600314,1/6/2024,Wisconsin,A,72,88,12-3 (2-2)
401600321,1/9/2024,Purdue,H,88,72,13-3 (3-2)
401600327,1/12/2024,Iowa,A,76,94,13-4 (3-3)
401600337,1/17/2024,Rutgers,A,82,87,13-5 (3-4)
401600341,1/20/2024,Northwestern,H,75,69,14-5 (4-4)
401600347,1/23/2024,Ohio State,H,83,69,15-5 (5-4)
401600355,1/27/2024,Maryland,A,51,73,15-6 (5-5)
401600363,2/1/2024,Wisconsin,H,80,72,16-6 (6-5)
401600369,2/4/2024,Illinois,A,84,87,16-7 (6-6)
401600374,2/7/2024,Northwestern,A,68,80,16-8 (6-7)
401600380,2/10/2024,Michigan,H,79,59,17-8 (7-7)
401600392,2/17/2024,Penn State,H,68,49,18-8 (8-7)
401600400,2/21/2024,Indiana,A,85,70,19-8 (9-7)
401600407,2/25/2024,Minnesota,H,73,55,20-8 (10-7)
