"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Abilene Christian",70.8595,57,68.8338,106,99.746,286,102.5,251,103.232,130,106.293,167,-3.79294,210
"2024","Air Force",63.3806,355,62.0321,359,103.551,216,106.013,188,112.953,336,113.016,316,-7.00238,261
"2024","Akron",66.4338,287,65.5378,298,109.06,103,108.921,137,100.837,79,103.979,123,4.94277,120
"2024","Alabama",73.9274,9,72.9091,11,122.544,2,127.126,1,107.52,246,103.065,107,24.0608,9
"2024","Alabama A&M",72.1167,31,70.8066,40,94.974,338,93.5154,351,105.944,208,110.804,256,-17.289,336
"2024","Alabama St.",69.5436,119,67.4888,195,93.8759,347,93.2825,352,100.768,77,106.025,159,-12.7423,312
"2024","Albany",74.6116,5,73.3335,6,104.301,200,105.27,206,105.966,210,111.59,279,-6.32004,252
"2024","Alcorn St.",67.9551,217,66.2667,264,104.668,195,107.048,172,113.163,341,116.838,351,-9.78976,290
"2024","American",62.915,359,63.0367,355,106.303,153,104.079,228,106.857,229,114.421,334,-10.3425,297
"2024","Appalachian St.",68.9402,152,67.3925,199,109.56,96,109.04,132,95.6706,8,97.8606,28,11.1797,73
"2024","Arizona",73.9211,10,72.5623,15,119.882,5,124.108,6,97.1138,22,95.5644,15,28.544,4
"2024","Arizona St.",70.7326,63,69.2598,87,98.8776,298,105.546,197,104.325,166,100.335,55,5.21086,115
"2024","Arkansas",72.3493,24,71.0758,34,105.922,162,110.761,100,108.778,271,104.884,142,5.87778,110
"2024","Arkansas Pine Bluff",72.8481,19,71.6893,23,103.159,225,102.055,261,113.692,346,119.21,361,-17.1553,335
"2024","Arkansas St.",70.5188,71,68.5754,127,112.119,47,113.307,71,109.524,284,110.837,258,2.47011,140
"2024","Army",63.18,357,63.2265,353,93.7353,348,91.3596,357,102.933,122,110.316,248,-18.9563,345
"2024","Auburn",70.8229,59,69.7787,71,117.417,13,120.947,14,96.2627,14,93.1195,5,27.828,6
