"team","id","link","espn_abbrv"
"AR-Pine Bluff",2029,"arkansas-pine-bluff-golden-lions","UAPB"
"Abil Christian",2000,"abilene-christian-wildcats","ACU"
"Air Force",2005,"air-force-falcons","AFA"
"Akron",2006,"akron-zips","AKR"
"Alabama",333,"alabama-crimson-tide","ALA"
"Alabama A&M",2010,"alabama-am-bulldogs","AAMU"
"Alabama State",2011,"alabama-state-hornets","ALST"
"Albany",399,"albany-great-danes","ALB"
"Alcorn State",2016,"alcorn-state-braves","ALCN"
"American",44,"american-eagles","AMER"
"Appalachian St",2026,"appalachian-state-mountaineers","APP"
"Arizona",12,"arizona-wildcats","ARIZ"
"Arizona State",9,"arizona-state-sun-devils","ASU"
"Arkansas",8,"arkansas-razorbacks","ARK"
"Arkansas State",2032,"arkansas-state-red-wolves","ARST"
"Army",349,"army-black-knights","ARMY"
"Auburn",2,"auburn-tigers","AUB"
"Austin Peay",2046,"austin-peay-governors","APSU"
"BYU",252,"byu-cougars","BYU"
"Ball State",2050,"ball-state-cardinals","BALL"
"Baylor",239,"baylor-bears","BAY"
"Bellarmine",91,"bellarmine-knights","BELL"
"Belmont",2057,"belmont-bruins","BEL"
"Bethune-Cookman",2065,"bethune-cookman-wildcats","BCU"
"Binghamton",2066,"binghamton-bearcats","BING"
"Boise State",68,"boise-state-broncos","BSU"
"Boston College",103,"boston-college-eagles","BC"
"Boston U",104,"boston-university-terriers","BU"
"Bowling Green",189,"bowling-green-falcons","BGSU"
"Bradley",71,"bradley-braves","BRAD"
"Brown",225,"brown-bears","BRWN"
"Bryant",2803,"bryant-bulldogs","BRY"
"Bucknell",2083,"bucknell-bison","BUCK"
"Buffalo",2084,"buffalo-bulls","BUFF"
"Butler",2086,"butler-bulldogs","BUT"
"C. Carolina",324,"coastal-carolina-chanticleers","CCU"
"CSU Bakersfield",2934,"csu-bakersfield-roadrunners","CSUB"
"CSU Fullerton",2239,"csu-fullerton-titans","CSUF"
"CSU Northridge",2463,"csu-northridge-matadors","CSUN"
"Cal",25,"california-golden-bears","CAL"
"Cal Baptist",2856,"california-baptist-lancers","CBU"
"Cal Poly",13,"cal-poly-mustangs","CP"
"Campbell",2097,"campbell-fighting-camels","CAMP"
"Canisius",2099,"canisius-golden-griffins","CAN"
"Cent Arkansas",2110,"central-arkansas-bears","CARK"
"Cent Conn St",2115,"central-connecticut-blue-devils","CCSU"
"Cent Michigan",2117,"central-michigan-chippewas","CMU"
"Charleston",232,"charleston-cougars","COFC"
"Charleston So",2127,"charleston-southern-buccaneers","CHSO"
"Charlotte",2429,"charlotte-49ers","CHAR"
"Chattanooga",236,"chattanooga-mocs","UTC"
"Chicago State",2130,"chicago-state-cougars","CHST"
"Cincinnati",2132,"cincinnati-bearcats","CIN"
"Clemson",228,"clemson-tigers","CLEM"
"Cleveland State",325,"cleveland-state-vikings","CLEV"
"Colgate",2142,"colgate-raiders","COLG"
"Colorado",38,"colorado-buffaloes","COLO"
"Colorado State",36,"colorado-state-rams","CSU"
"Columbia",171,"columbia-lions","COLU"
"Coppin State",2154,"coppin-state-eagles","COPP"
"Cornell",172,"cornell-big-red","CORN"
"Creighton",156,"creighton-bluejays","CREI"
"Dartmouth",159,"dartmouth-big-green","DART"
"Davidson",2166,"davidson-wildcats","DAV"
"Dayton",2168,"dayton-flyers","DAY"
"DePaul",305,"depaul-blue-demons","DEP"
"Delaware",48,"delaware-blue-hens","DEL"
"Delaware State",2169,"delaware-state-hornets","DSU"
"Denver",2172,"denver-pioneers","DEN"
"Detroit Mercy",2174,"detroit-mercy-titans","DETM"
"Drake",2181,"drake-bulldogs","DRKE"
"Drexel",2182,"drexel-dragons","DREX"
"Duke",150,"duke-blue-devils","DUKE"
"Duquesne",2184,"duquesne-dukes","DUQ"
"E Illinois",2197,"eastern-illinois-panthers","EIU"
"E Kentucky",2198,"eastern-kentucky-colonels","EKU"
"E Michigan",2199,"eastern-michigan-eagles","EMU"
"E Washington",331,"eastern-washington-eagles","EWU"
"ECU",151,"east-carolina-pirates","ECU"
"ETSU",2193,"east-tennessee-state-buccaneers","ESTU"
"Elon",2210,"elon-phoenix","ELON"
"Evansville",339,"evansville-purple-aces","EVAN"
"FAU",2226,"florida-atlantic-owls","FAU"
"FGCU",526,"florida-gulf-coast-eagles","FGCU"
"FIU",2229,"florida-international-panthers","FIU"
"Fair Dickinson",161,"fairleigh-dickinson-knights","FDU"
"Fairfield",2217,"fairfield-stags","FAIR"
"Florida",57,"florida-gators","FLA"
"Florida A&M",50,"florida-am-rattlers","FAMU"
"Florida State",52,"florida-state-seminoles","FSU"
"Fordham",2230,"fordham-rams","FOR"
"Fort Wayne",2870,"purdue-fort-wayne-mastodons","PFW"
"Fresno State",278,"fresno-state-bulldogs","FRES"
"Furman",231,"furman-paladins","FUR"
"G Washington",45,"george-washington-colonials","GW"
"Ga Southern",290,"georgia-southern-eagles","GASO"
"Gardner-Webb",2241,"gardner-webb-bulldogs","WEBB"
"George Mason",2244,"george-mason-patriots","GMU"
"Georgetown",46,"georgetown-hoyas","GTWN"
"Georgia",61,"georgia-bulldogs","UGA"
"Georgia State",2247,"georgia-state-panthers","GAST"
"Georgia Tech",59,"georgia-tech-yellow-jackets","GT"
"Gonzaga",2250,"gonzaga-bulldogs","GONZ"
"Grambling",2755,"grambling-tigers","GRAM"
"Grand Canyon",2253,"grand-canyon-antelopes","GCU"
"Green Bay",2739,"green-bay-phoenix","GP"
"Hampton",2261,"hampton-pirates","HAMP"
"Harvard",108,"harvard-crimson","HARV"
"Hawai'i",62,"hawaii-rainbow-warriors","HAW"
"High Point",2272,"high-point-panthers","HP"
"Hofstra",2275,"hofstra-pride","HOF"
"Holy Cross",107,"holy-cross-crusaders","HC"
"Houston",248,"houston-cougars","HOU"
"Houston Christian",2277,"houston-christian-huskies","HCU"
"Howard",47,"howard-bison","HOW"
"IU Indy",85,"iu-indianapolis-jaguars","IUPU"
"Idaho",70,"idaho-vandals","IDHO"
"Idaho State",304,"idaho-state-bengals","IDST"
"Illinois",356,"illinois-fighting-illini","ILL"
"Illinois State",2287,"illinois-state-redbirds","ILST"
"Incarnate Word",2916,"incarnate-word-cardinals","UIW"
"Indiana",84,"indiana-hoosiers","IU"
"Indiana State",282,"indiana-state-sycamores","INST"
"Iona",314,"iona-gaels","IONA"
"Iowa",2294,"iowa-hawkeyes","IOWA"
"Iowa State",66,"iowa-state-cyclones","IOWS"
"JMU",256,"james-madison-dukes","JMU"
"Jackson State",2296,"jackson-state-tigers","JKST"
"Jacksonville",294,"jacksonville-dolphins","JAX"
"Jacksonville St",55,"jacksonville-state-gamecocks","JVST"
"Kansas",2305,"kansas-jayhawks","KU"
"Kansas State",2306,"kansas-state-wildcats","KSU"
"Kennesaw State",338,"kennesaw-state-owls","KENN"
"Kent State",2309,"kent-state-golden-flashes","KENT"
"Kentucky",96,"kentucky-wildcats","UK"
"LA Tech",2348,"louisiana-tech-bulldogs","LT"
"LIU",112358,"long-island-university-sharks","LIU"
"LSU",99,"lsu-tigers","LSU"
"La Salle",2325,"la-salle-explorers","LAS"
"Lafayette",322,"lafayette-leopards","LAF"
"Lamar",2320,"lamar-cardinals","LAM"
"Le Moyne",2330,"le-moyne-dolphins","LEM"
"Lehigh",2329,"lehigh-mountain-hawks","LEH"
"Liberty",2335,"liberty-flames","LIB"
"Lindenwood",2815,"lindenwood-lions","LIN"
"Lipscomb",288,"lipscomb-bisons","LIP"
"Little Rock",2031,"little-rock-trojans","LR"
"Long Beach State",299,"long-beach-state-beach","LBSU"
"Longwood",2344,"longwood-lancers","LONG"
"Louisiana",309,"louisiana-ragin-cajuns","UL"
"Louisville",97,"louisville-cardinals","LOU"
"Loyola (MD)",2352,"loyola-md-greyhounds","L-MD"
"Loyola Mary",2351,"loyola-marymount-lions","LMU"
"Loyola-Chicago",2350,"loyola-chicago-ramblers","LUC"
"MD-E Shore",2379,"maryland-eastern-shore-hawks","MDES"
"Maine",311,"maine-black-bears","ME"
"Manhattan",2363,"manhattan-jaspers","MAN"
"Marist",2368,"marist-red-foxes","MRST"
"Marquette",269,"marquette-golden-eagles","MARQ"
"Marshall",276,"marshall-thundering-herd","MRSH"
"Maryland",120,"maryland-terrapins","MD"
"Mcneese",2377,"mcneese-cowboys","MCN"
"Memphis",235,"memphis-tigers","MEM"
"Mercer",2382,"mercer-bears","MER"
"Mercyhurst",2385,"mercyhurst-lakers","MERC"
"Merrimack",2771,"merrimack-warriors","MRMK"
"Miami",2390,"miami-hurricanes","MIA"
"Miami (OH)",193,"miami-oh-redhawks","M-OH"
"Michigan",130,"michigan-wolverines","MICH"
"Michigan State",127,"michigan-state-spartans","MST"
"Mid Tennessee",2393,"middle-tennessee-blue-raiders","MTU"
"Milwaukee",270,"milwaukee-panthers","MILW"
"Minnesota",135,"minnesota-golden-gophers","MINN"
